gene_id	Stage_0	Stage_1	Stage_2	Stage_3	Stage_4	Stage_5	Stage_6_1	Stage_6_2
StHeBC4_c10343_g0	0	0	0	0.44	1.24	0	0	0
StHeBC4_c10344_g0	0	0.34	0.33	4.11	8.69	0.22	0.43	1.59
StHeBC4_c10345_g0	0	0	0.04	0	0.18	0	0.38	0.06
StHeBC4_c10346_g0	0.16	0	0	0	0	0	0.09	0.1
StHeBC4_c10347_g0	0	0.19	0	0.31	0.09	0.13	0.27	0.19
StHeBC4_c10352_g0	0	0	0	0	0	0	0	0
StHeBC4_c10353_g0	0	0	0.07	0	0.08	0	0.08	0
StHeBC4_c10355_g0	0.85	0.72	0.57	0.72	0.97	0.74	1.37	0.69
StHeBC4_c10356_g0	0	0	0	0	0	0	0	0
StHeBC4_c10356_g1	0.16	0	0	0	0.36	0.11	0	0
StHeBC4_c10358_g0	0.03	0.99	0.7	0.4	0.37	0.86	1.49	5.14
StHeBC4_c10360_g0	0	0	0.07	0	0	0.17	0	0.07
StHeBC4_c10362_g0	0.1	0.09	0.03	0.04	0.17	0	0	0
StHeBC4_c10363_g0	0	2.18	3.46	1.95	2.35	3.82	0.13	0.2
StHeBC4_c10366_g0	0.3	0.15	0.4	0.15	0	0.34	0.32	0.31
StHeBC4_c10367_g0	0.15	1.02	0	0.19	0.11	1.01	0.87	0
StHeBC4_c10368_g0	0	0.52	0.37	0.64	0.61	0.65	0.51	3.78
StHeBC4_c10369_g0	0.54	0.16	0.16	0.16	1.15	0.61	0.61	0.12
StHeBC4_c10370_g0	0	0	0	0	0.14	0	0	0
StHeBC4_c10372_g0	0	2.02	1.05	0.21	0.16	0	0.35	2.13
StHeBC4_c10373_g0	0	0	0	0.32	0.35	0	0	0
StHeBC4_c10374_g0	0	0	0	0.29	0.12	0	0	0
StHeBC4_c10374_g1	0	5.38	8.66	2.01	0.05	0.13	0.04	0.35
StHeBC4_c10375_g0	0	0.92	5.87	5.69	5.41	4.16	2	2.1
StHeBC4_c10380_g0	0	0	0	0	0	0	0	0
StHeBC4_c10381_g0	0.18	1.59	5.12	6.6	10.71	8.7	6.31	6.78
StHeBC4_c10382_g0	0	0	0	0	0	0.1	0.26	30.47
StHeBC4_c10383_g0	0	0	0	0	0	0	0.13	0.14
